Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-03,238.7086639404297,238.85871266303565,237.37597487301915,237.37597487301915,90070400
2018-01-04,239.71473693847656,240.20016642095098,238.77040785424893,239.35290707288476,80636400
2018-01-05,241.31222534179688,241.4357710973059,240.0148467725548,240.50908366237172,83524000
2018-01-08,241.75344848632812,241.91230453166736,240.92383100437848,241.21506708750042,57319200
2018-01-09,242.30067443847656,242.92729133603828,241.89467301514344,242.17710176166534,57254000
2018-01-10,241.9299774169922,242.19476446057965,240.87091004430349,241.54164463350688,69574300
2018-01-11,243.695068359375,243.695068359375,242.31826219392283,242.4859525414737,62361500
2018-01-12,245.28375244140625,245.45141588442488,243.65980069307454,243.95989805566307,90816100
2018-01-16,244.4452667236328,247.19887915543404,243.74802930215662,246.54578636770452,106555100
2018-01-17,246.7752685546875,247.1636013265169,244.44529885759744,245.38082046230835,113258800
2018-01-18,246.3604736328125,247.08416018383002,245.86620991262484,246.66054404350461,100728000
2018-01-19,247.4813995361328,247.4813995361328,246.3605455922851,246.94301795536694,140920100
2018-01-22,249.49366760253906,249.49366760253906,247.21662235628645,247.26960132531224,91322400
2018-01-23,250.02310180664062,250.3143378681458,249.21112607870234,249.53767245895654,97084700
2018-01-24,249.926025390625,251.26754827284492,248.74338548869366,250.66738054106474,134816100
2018-01-25,250.03195190429688,250.8880454765253,249.23764466696517,250.7909757507329,84587300
2018-01-26,252.92672729492188,252.97087192533644,250.61439977182803,250.87035243981435,107743100
2018-01-29,251.24990844726562,252.79440525454027,251.09105238265022,252.3531204524618,90118300
2018-01-30,248.67271423339844,251.30275329445254,248.19611930892123,249.4140691526545,131796400
2018-01-31,248.79632568359375,250.03191754228914,247.71958986375583,249.52887341924054,108364800
2018-02-01,248.51388549804688,249.8200979361876,247.71957840661423,248.06379340876774,90102500
2018-02-02,243.10374450683594,247.3224250313871,243.06843419043827,247.19001807836568,173174800
2018-02-05,232.93658447265625,243.4568257933746,232.3893956385142,241.33866417280788,294681800
2018-02-06,237.52593994140625,238.0290110334515,228.32074628425286,229.41512387350136,355026800
2018-02-07,236.23739624023438,240.3766225268729,236.15794128128965,236.96991709393592,167376100
2018-02-08,227.3764190673828,236.67871054920792,227.34110874054193,236.53749617573212,246449500
2018-02-09,230.79197692871094,232.65418607049958,223.21952727425176,230.17416736414123,283565300
2018-02-12,234.1810302734375,235.6549334560519,230.93318038986496,232.84834146844216,143736000
2018-02-13,234.7635040283203,235.31069284858867,232.38938974640575,232.97188889072277,81223600
2018-02-14,237.93191528320312,238.29377202093067,233.26311494915726,233.2719492632603,120735700
2018-02-15,240.96800231933594,240.97683663511486,237.2082468064873,239.67945810841988,111200300
2018-02-16,241.0386505126953,242.98914936833674,240.29729503475434,240.3414396897351,160420100
2018-02-20,239.52940368652344,241.53285408042603,238.73509636819446,240.0854268895204,86369700
2018-02-21,238.33787536621094,242.45948665527047,238.2408056524626,239.97063427773688,98883700
2018-02-22,238.64682006835938,240.9856241766119,237.9760854716206,239.26462957645055,110511300
2018-02-23,242.45068359375,242.45068359375,239.39700036559773,239.87359548385058,92766400
2018-02-26,245.26608276367188,245.36317942383232,242.93611306034282,243.5274196004712,86491400
2018-02-27,242.2035369873047,246.1662922848069,242.14175065930363,245.45138622372036,99099200
2018-02-28,239.75003051757812,243.75690411099282,239.43231838445774,243.30678498851844,121907800
2018-03-01,236.26385498046875,241.0915109992205,234.76347612640865,239.53818013232367,176855100
2018-03-02,237.48179626464844,238.04665368969444,233.72206839798824,234.58696929599878,139083200
2018-03-05,240.22657775878906,240.84438713964866,236.18439464515035,236.29032560229226,97307400
2018-03-06,240.83560180664062,241.28572093092131,239.33522268162986,241.2062659634352,79213200
2018-03-07,240.74729919433594,241.10032159591879,238.47028181032627,238.66444817127925,87063500
2018-03-08,241.912353515625,242.03589926461066,240.429642924463,241.4269240336175,66901200
2018-03-09,246.12217712402344,246.12217712402344,243.0067075503226,243.32444660817592,113625300
2018-03-12,245.81333923339844,247.04012422475856,245.42500635367966,246.4135071872598,71924800
2018-03-13,244.2247314453125,247.4814163662056,243.61575609042063,246.97834508453067,91968900
2018-03-14,242.9713897705078,245.37198005774283,242.4153935706246,245.18664799111508,105895100
2018-03-15,242.70663452148438,244.12755861714484,242.20356339670718,243.4833000613749,83433000
2018-03-16,242.9698944091797,244.0243610563833,242.91673029602376,243.23571497495934,100343700
2018-03-19,239.68238830566406,243.1470600120227,238.02537728126694,242.21666113961905,109208400
2018-03-20,240.0900421142578,240.7280384811627,239.40772429415247,240.0811724152647,59757300
2018-03-21,239.6291961669922,242.14572931049537,239.4165397734384,240.0456662988744,78709600
2018-03-22,233.63916015625,238.2468868330823,233.36444291252553,237.39623417673425,148785900
2018-03-23,228.65921020507812,234.41004566160512,228.4642661719457,234.08219138810017,183534800
2018-03-26,234.91513061523438,235.1986905206336,229.86435162889532,232.27455674126682,141956100
2018-03-27,230.91876220703125,236.3860100315991,229.35921014628045,235.85436913975627,129941400
2018-03-28,230.2365264892578,232.72650507922,229.1288958346585,231.0517545494191,146452300
2018-03-29,233.1783447265625,235.04803889006126,230.24534161174782,231.37955405153937,111601600
2018-04-02,228.1453399658203,233.1606949725297,225.6642445173411,232.6467391892501,186286300
2018-04-03,231.06947326660156,231.54797729425644,227.58708888268856,229.38588003361113,119956900
2018-04-04,233.54168701171875,234.25055975602498,227.37440760261674,227.50731786195394,123715300
2018-04-05,235.38473510742188,236.2708393166049,234.2150710612792,235.3049619318515,82652600
2018-04-06,230.13902282714844,234.91511121117597,228.61492226371996,233.41761973833164,179521200
2018-04-09,231.27317810058594,234.67581471728545,230.3339098854333,231.60103230224743,105442900
2018-04-10,234.95053100585938,235.7391767500302,233.02769997153587,234.17075495734375,103529000
2018-04-11,233.71890258789062,235.3847831679727,233.39104829023276,233.46192474306693,91140200
2018-04-12,235.64173889160156,236.58987709883664,234.87083238279263,235.04806408121883,68890500
2018-04-13,234.95053100585938,237.06833309406684,233.94038624610417,236.95313521756952,85079200
2018-04-16,236.8822479248047,237.65318137210718,235.76577490790555,236.58984540750555,63405300
2018-04-17,239.41653442382812,240.01907888660645,238.14054200749845,238.65447062768973,64682000
2018-04-18,239.59373474121094,240.40006579043967,239.13294323678886,239.8595551924122,57303900
2018-04-19,238.26461791992188,239.1418525961378,237.22786390477262,238.9380388552426,77655900
2018-04-20,236.2442626953125,238.4152291228504,235.3581583643596,238.19370304011218,99953100
2018-04-23,236.2088165283203,237.3784806289151,235.1277682611201,236.82023062446052,65558000
2018-04-24,233.02769470214844,237.45821574875117,231.52130672960175,237.23668969642102,112885500
2018-04-25,233.6037139892578,234.04676620194712,231.14034476837557,232.96571772131472,103840900
2018-04-26,235.9783935546875,236.81133361737412,234.18847291027186,234.63152498439229,67731900
2018-04-27,236.19996643066406,236.89112672168028,235.26069801061018,236.58985449654583,57053600
2018-04-30,234.38343811035156,237.3784747290615,234.3125346286959,236.82022473848178,82182300
2018-05-01,234.79989624023438,234.90622441555632,232.25675451893468,233.8163065349993,74203400
2018-05-02,233.22267150878906,235.42019295022632,232.83278343851634,234.60499210638935,86368900
2018-05-03,232.708740234375,233.36444885682891,229.54534094074646,232.38975562077937,136311500
2018-05-04,235.72146606445312,236.40378371087323,231.40614226864932,231.73399654675637,91222100
2018-05-07,236.51901245117188,237.49370571588946,235.80124296594832,236.49243039925707,55304900
2018-05-08,236.51901245117188,236.882291480087,234.95059026291256,236.1468366826027,67499200
2018-05-09,238.80516052246094,239.13301485772064,236.6696454523691,237.19244385748092,59666100
2018-05-10,241.03810119628906,241.36598252854432,239.44312414564342,239.5494523434519,72063900
2018-05-11,241.7736358642578,242.03945641693699,240.64826576046374,241.16222155133048,59871500
2018-05-14,241.8888397216797,242.86353313327135,241.33943216304834,242.20782439272438,54790600
2018-05-15,240.22283935546875,240.67473408147407,239.2747014293603,240.65702173358744,87036100
2018-05-16,241.23306274414062,241.6938543570929,240.23176040585443,240.25836949899676,53942600
2018-05-17,241.029296875,242.11034546091818,240.24952057804086,240.96726306915923,56536400
2018-05-18,240.42666625976562,241.0469500824416,240.0722299504181,240.68364407678934,64368000
2018-05-21,242.23435974121094,242.77489749638747,241.52548702550746,241.9153751316726,58025900
2018-05-22,241.5608673095703,243.01409126380685,241.23301306280507,242.75711345887365,52966400
2018-05-23,242.2254638671875,242.25207295686752,240.12540095605803,240.2849202853492,64694200
2018-05-24,241.72926330566406,242.10143904249645,239.93934219858906,241.82674884888,76043800
2018-05-25,241.1532745361328,241.7824010036127,240.6481886062128,241.15327453613284,56374800
2018-05-29,238.37979125976562,240.28493731566547,237.26331812614362,239.5228734849536,115908600
2018-05-30,241.5608673095703,242.0039194358489,239.62032387488537,239.6912003167174,69678400
2018-05-31,240.08108520507812,241.4545359618413,239.47854081125658,241.15326376493053,93519900
2018-06-01,242.43820190429688,242.73947419586642,241.3128318579852,241.3837353629215,71258400
2018-06-04,243.59007263183594,243.84705045682625,243.0229799276507,243.26221835948164,45385200
2018-06-05,243.7672882080078,244.14830655115196,242.95206038751343,243.7229667697954,51135000
2018-06-06,245.80528259277344,245.91161076270495,243.75838419633496,244.3786679099385,62732200
2018-06-07,245.77874755859375,246.58510572380365,244.86606120311572,246.2927032005663,72969400
2018-06-08,246.5053253173828,246.55848940512718,245.14958699639402,245.31794895483577,72139700
2018-06-11,246.83328247070312,247.55102499631073,246.6117563321387,246.7269542508746,58892500
2018-06-12,247.15225219726562,247.51553120606124,246.50538624748145,247.24971070163508,72329000
2018-06-13,246.36358642578125,247.64844852430954,246.1597726943209,247.39147069625224,79070600
2018-06-14,246.98390197753906,247.51554301174895,246.3902001003225,247.23201014075755,77097600
2018-06-15,246.66873168945312,247.00696761060067,245.08438487185177,246.1969887371106,120041600
2018-06-18,246.16143798828125,246.28606268998453,244.72841689781526,245.2090423276186,52917600
2018-06-19,245.21792602539062,245.44044682940643,243.46446100321893,243.88280120129596,97531500
2018-06-20,245.6362762451172,246.30383868440023,245.29804026310413,245.90329035555632,53785500
2018-06-21,244.09649658203125,245.64526038255792,243.59805198235634,245.62744132765945,71061400
2018-06-22,244.54141235351562,245.47601586878525,244.31889158747708,245.3603007243365,54898500
2018-06-25,241.21258544921875,243.54459945689817,239.52143253368837,243.3843909746579,137854200
2018-06-26,241.74658203125,242.60105422502414,241.02561687350598,241.78219296191847,68547400
2018-06-27,239.74395751953125,243.76712451239197,239.5926313971148,242.334103346676,105110700
2018-06-28,241.11473083496094,241.8801896018081,238.97850871785917,239.69059181129063,76650500
2018-06-29,241.46176147460938,243.58016376710427,241.3460463163026,242.20942807845768,97592500
2018-07-02,241.97801208496094,242.13824770919948,239.64599838566832,239.886338240434,63554800
2018-07-03,241.12362670898438,242.97501569244608,240.696403992181,242.87709237771588,42187100
2018-07-05,243.0906982421875,243.1530106080444,241.17702409790436,242.2540447196248,56925900
2018-07-06,245.14675903320312,245.52057881482605,242.73461368749187,243.11737015768867,66493700
2018-07-09,247.35415649414062,247.40755932186144,246.1080452420086,246.15253854404656,50550400
2018-07-10,248.24420166015625,248.34212493804236,247.51432690931017,247.80806957978464,51966800
2018-07-11,246.42840576171875,247.4787245137484,246.12578075289048,246.68653747870061,77054700
